feature	chromosome	start	end	LGG150
7:4440001-4455000	7	4440001	4455000	0.185
7:4455001-4470000	7	4455001	4470000	0.329
7:4470001-4485000	7	4470001	4485000	-0.23
7:4485001-4500000	7	4485001	4500000	-0.163
7:4500001-4515000	7	4500001	4515000	0.193
7:4515001-4530000	7	4515001	4530000	0.06
7:4530001-4545000	7	4530001	4545000	-0.039
7:4545001-4560000	7	4545001	4560000	0.15
7:4560001-4575000	7	4560001	4575000	0.271
7:4575001-4590000	7	4575001	4590000	0.285
7:4590001-4605000	7	4590001	4605000	0.406
7:4605001-4620000	7	4605001	4620000	0.006
7:4650001-4665000	7	4650001	4665000	-0.046
7:4665001-4680000	7	4665001	4680000	-0.184
7:4680001-4695000	7	4680001	4695000	0.519
7:4695001-4710000	7	4695001	4710000	-0.016
7:4710001-4725000	7	4710001	4725000	0.199
7:4725001-4740000	7	4725001	4740000	0.316
7:4740001-4755000	7	4740001	4755000	0.065
7:4755001-4770000	7	4755001	4770000	-0.139
7:4770001-4785000	7	4770001	4785000	0.177
7:4785001-4800000	7	4785001	4800000	0.289
7:4800001-4815000	7	4800001	4815000	-0.052
7:4815001-4830000	7	4815001	4830000	-0.686
7:4830001-4845000	7	4830001	4845000	0.142
7:4845001-4860000	7	4845001	4860000	0.054
7:4860001-4875000	7	4860001	4875000	0.07
7:4875001-4890000	7	4875001	4890000	0.175
7:4890001-4905000	7	4890001	4905000	0.336
7:4905001-4920000	7	4905001	4920000	0.177
7:4920001-4935000	7	4920001	4935000	0.216
7:4935001-4950000	7	4935001	4950000	-0.316
7:4950001-4965000	7	4950001	4965000	-0.183
7:4965001-4980000	7	4965001	4980000	0.018
7:4980001-4995000	7	4980001	4995000	0.044
7:5040001-5055000	7	5040001	5055000	0.152
7:5055001-5070000	7	5055001	5070000	0.315
7:5100001-5115000	7	5100001	5115000	0.117
7:5115001-5130000	7	5115001	5130000	0.212
7:5130001-5145000	7	5130001	5145000	-0.419
7:5145001-5160000	7	5145001	5160000	-0.451
7:5205001-5220000	7	5205001	5220000	0.21
7:5220001-5235000	7	5220001	5235000	-0.253
7:5235001-5250000	7	5235001	5250000	0.133
7:5250001-5265000	7	5250001	5265000	-0.04
7:5265001-5280000	7	5265001	5280000	0.169
7:5280001-5295000	7	5280001	5295000	-0.757
7:5325001-5340000	7	5325001	5340000	0.381
7:5340001-5355000	7	5340001	5355000	0.164
7:5355001-5370000	7	5355001	5370000	-0.202
7:5370001-5385000	7	5370001	5385000	0.271
7:5385001-5400000	7	5385001	5400000	-0.345
7:5400001-5415000	7	5400001	5415000	0.143
7:5415001-5430000	7	5415001	5430000	0.24
7:5430001-5445000	7	5430001	5445000	-0.277
7:5445001-5460000	7	5445001	5460000	0.023
7:5475001-5490000	7	5475001	5490000	0.431
7:5490001-5505000	7	5490001	5505000	0.108
7:5505001-5520000	7	5505001	5520000	-0.173
7:5520001-5535000	7	5520001	5535000	-0.815
7:5535001-5550000	7	5535001	5550000	-0.651
7:5550001-5565000	7	5550001	5565000	0.123
7:5565001-5580000	7	5565001	5580000	-0.033
7:5580001-5595000	7	5580001	5595000	-0.372
7:5595001-5610000	7	5595001	5610000	-0.2
7:5610001-5625000	7	5610001	5625000	-0.113
7:5625001-5640000	7	5625001	5640000	0.199
7:5640001-5655000	7	5640001	5655000	0.087
7:5655001-5670000	7	5655001	5670000	0.337
7:5670001-5685000	7	5670001	5685000	-0.104
7:5685001-5700000	7	5685001	5700000	0.17
7:5700001-5715000	7	5700001	5715000	0.129
7:5715001-5730000	7	5715001	5730000	0.464
7:5730001-5745000	7	5730001	5745000	-0.092
7:5745001-5760000	7	5745001	5760000	0.29
7:5775001-5790000	7	5775001	5790000	0.349
7:5790001-5805000	7	5790001	5805000	-0.053
7:5805001-5820000	7	5805001	5820000	0.331
7:6030001-6045000	7	6030001	6045000	0.307
7:6045001-6060000	7	6045001	6060000	0.434
7:6060001-6075000	7	6060001	6075000	-0.285
7:6075001-6090000	7	6075001	6090000	0.074
7:6090001-6105000	7	6090001	6105000	0.491
7:6105001-6120000	7	6105001	6120000	0.527
7:6135001-6150000	7	6135001	6150000	0.175
7:6150001-6165000	7	6150001	6165000	-0.223
7:6165001-6180000	7	6165001	6180000	0.146
7:6180001-6195000	7	6180001	6195000	-0.553
7:6195001-6210000	7	6195001	6210000	0.174
7:6210001-6225000	7	6210001	6225000	0.087
7:6225001-6240000	7	6225001	6240000	0.084
7:6240001-6255000	7	6240001	6255000	-0.04
7:6255001-6270000	7	6255001	6270000	0.493
7:6270001-6285000	7	6270001	6285000	-0.012
7:6285001-6300000	7	6285001	6300000	0.404
7:6300001-6315000	7	6300001	6315000	0.473
7:6315001-6330000	7	6315001	6330000	-0.4
7:6330001-6345000	7	6330001	6345000	0.549
7:6345001-6360000	7	6345001	6360000	0.741
7:6360001-6375000	7	6360001	6375000	0.577
7:6375001-6390000	7	6375001	6390000	0.17
7:6390001-6405000	7	6390001	6405000	0.031
7:6420001-6435000	7	6420001	6435000	0.416
7:6435001-6450000	7	6435001	6450000	0.281
7:6450001-6465000	7	6450001	6465000	0.149
7:6465001-6480000	7	6465001	6480000	0.226
7:6480001-6495000	7	6480001	6495000	-0.233
7:6495001-6510000	7	6495001	6510000	0.023
7:6510001-6525000	7	6510001	6525000	0.309
7:6525001-6540000	7	6525001	6540000	0.317
7:6540001-6555000	7	6540001	6555000	0.323
7:6555001-6570000	7	6555001	6570000	0.005
7:6570001-6585000	7	6570001	6585000	0.152
7:6585001-6600000	7	6585001	6600000	0.234
7:6600001-6615000	7	6600001	6615000	0.678
7:6615001-6630000	7	6615001	6630000	-0.033
7:6630001-6645000	7	6630001	6645000	0.337
7:6645001-6660000	7	6645001	6660000	0.274
7:6660001-6675000	7	6660001	6675000	0.197
7:6675001-6690000	7	6675001	6690000	0.153
7:6705001-6720000	7	6705001	6720000	0.553
7:6720001-6735000	7	6720001	6735000	0.053
7:6735001-6750000	7	6735001	6750000	0.395
7:7050001-7065000	7	7050001	7065000	-0.137
7:7065001-7080000	7	7065001	7080000	0.42
7:7080001-7095000	7	7080001	7095000	0.406
7:7095001-7110000	7	7095001	7110000	0.144
7:7110001-7125000	7	7110001	7125000	-0.285
7:7125001-7140000	7	7125001	7140000	0.101
7:7140001-7155000	7	7140001	7155000	0.277
7:7155001-7170000	7	7155001	7170000	0.017
7:7170001-7185000	7	7170001	7185000	0.099
7:7185001-7200000	7	7185001	7200000	0.092
7:7200001-7215000	7	7200001	7215000	0.305
7:7215001-7230000	7	7215001	7230000	0.224
7:7230001-7245000	7	7230001	7245000	0.409
7:7245001-7260000	7	7245001	7260000	0.59
7:7260001-7275000	7	7260001	7275000	0.789
7:7275001-7290000	7	7275001	7290000	0.083
7:7290001-7305000	7	7290001	7305000	-0.018
7:7305001-7320000	7	7305001	7320000	0.528
7:7320001-7335000	7	7320001	7335000	0.356
7:7335001-7350000	7	7335001	7350000	0.65
7:7350001-7365000	7	7350001	7365000	0.258
7:7365001-7380000	7	7365001	7380000	0.141
7:7380001-7395000	7	7380001	7395000	-0.097
7:7395001-7410000	7	7395001	7410000	0.164
7:7410001-7425000	7	7410001	7425000	-0.056
7:7425001-7440000	7	7425001	7440000	0.173
7:7440001-7455000	7	7440001	7455000	0.463
7:7455001-7470000	7	7455001	7470000	0.024
7:7470001-7485000	7	7470001	7485000	-0.116
7:7485001-7500000	7	7485001	7500000	0.165
7:7515001-7530000	7	7515001	7530000	0.212
7:7530001-7545000	7	7530001	7545000	0.318
7:7545001-7560000	7	7545001	7560000	-0.096
7:7560001-7575000	7	7560001	7575000	-0.059
7:7575001-7590000	7	7575001	7590000	0.297
7:7590001-7605000	7	7590001	7605000	0.34
7:7605001-7620000	7	7605001	7620000	0.078
7:7620001-7635000	7	7620001	7635000	0.232
7:7635001-7650000	7	7635001	7650000	0.521
7:7650001-7665000	7	7650001	7665000	0.361
7:7665001-7680000	7	7665001	7680000	0.124
7:7680001-7695000	7	7680001	7695000	-0.073
7:7695001-7710000	7	7695001	7710000	0.031
7:7710001-7725000	7	7710001	7725000	0.005
7:7725001-7740000	7	7725001	7740000	0.101
7:7740001-7755000	7	7740001	7755000	0.142
7:7755001-7770000	7	7755001	7770000	-0.026
7:7770001-7785000	7	7770001	7785000	0.275
7:7785001-7800000	7	7785001	7800000	0.153
7:7800001-7815000	7	7800001	7815000	0.418
7:7815001-7830000	7	7815001	7830000	0.358
7:7830001-7845000	7	7830001	7845000	0.421
7:7845001-7860000	7	7845001	7860000	0.279
7:7860001-7875000	7	7860001	7875000	0.294
7:7875001-7890000	7	7875001	7890000	0.398
7:7890001-7905000	7	7890001	7905000	0.305
7:7905001-7920000	7	7905001	7920000	0.385
7:7920001-7935000	7	7920001	7935000	0.238
7:7935001-7950000	7	7935001	7950000	-0.253
7:7950001-7965000	7	7950001	7965000	0.375
7:7965001-7980000	7	7965001	7980000	0.52
7:7980001-7995000	7	7980001	7995000	-0.019
7:7995001-8010000	7	7995001	8010000	0.376
7:8010001-8025000	7	8010001	8025000	0.246
7:8025001-8040000	7	8025001	8040000	0.413
7:8040001-8055000	7	8040001	8055000	0.334
7:8055001-8070000	7	8055001	8070000	0.059
7:8070001-8085000	7	8070001	8085000	0.269
7:8085001-8100000	7	8085001	8100000	0.256
7:8100001-8115000	7	8100001	8115000	-0.027
7:8115001-8130000	7	8115001	8130000	0.187
7:8130001-8145000	7	8130001	8145000	0.433
7:8145001-8160000	7	8145001	8160000	0.404
7:8160001-8175000	7	8160001	8175000	-0.155
7:8175001-8190000	7	8175001	8190000	0.507
7:8190001-8205000	7	8190001	8205000	0.207
7:8205001-8220000	7	8205001	8220000	0.16
7:8220001-8235000	7	8220001	8235000	0.262
7:8235001-8250000	7	8235001	8250000	0.076
7:8250001-8265000	7	8250001	8265000	0.455
7:8265001-8280000	7	8265001	8280000	0.177
7:8280001-8295000	7	8280001	8295000	0.063
7:8295001-8310000	7	8295001	8310000	-0.136
7:8310001-8325000	7	8310001	8325000	-0.019
7:8325001-8340000	7	8325001	8340000	0.636
7:8340001-8355000	7	8340001	8355000	0.174
7:8355001-8370000	7	8355001	8370000	0.175
7:8370001-8385000	7	8370001	8385000	0.281
7:8385001-8400000	7	8385001	8400000	0.118
7:8400001-8415000	7	8400001	8415000	0.018
7:8415001-8430000	7	8415001	8430000	0.493
7:8430001-8445000	7	8430001	8445000	0.468
7:8445001-8460000	7	8445001	8460000	-0.123
7:8460001-8475000	7	8460001	8475000	0.047
7:8475001-8490000	7	8475001	8490000	-0.031
7:8490001-8505000	7	8490001	8505000	0.384
7:8505001-8520000	7	8505001	8520000	0.208
7:8520001-8535000	7	8520001	8535000	0.063
7:8535001-8550000	7	8535001	8550000	0.275
7:8550001-8565000	7	8550001	8565000	0.089
7:8565001-8580000	7	8565001	8580000	-0.058
7:8580001-8595000	7	8580001	8595000	0.011
7:8595001-8610000	7	8595001	8610000	0.335
7:8610001-8625000	7	8610001	8625000	0.233
7:8625001-8640000	7	8625001	8640000	0.411
7:8640001-8655000	7	8640001	8655000	0.117
7:8655001-8670000	7	8655001	8670000	0.35
7:8670001-8685000	7	8670001	8685000	0.638
7:8685001-8700000	7	8685001	8700000	-0.056
7:8700001-8715000	7	8700001	8715000	0.323
7:8715001-8730000	7	8715001	8730000	0.013
7:8730001-8745000	7	8730001	8745000	0.322
7:8745001-8760000	7	8745001	8760000	0.26
7:8775001-8790000	7	8775001	8790000	0.028
7:8790001-8805000	7	8790001	8805000	0.429
7:8805001-8820000	7	8805001	8820000	0.288
7:8820001-8835000	7	8820001	8835000	-0.012
7:8835001-8850000	7	8835001	8850000	0.098
7:8850001-8865000	7	8850001	8865000	0.052
7:8865001-8880000	7	8865001	8880000	0.069
7:8880001-8895000	7	8880001	8895000	0.188
7:8895001-8910000	7	8895001	8910000	0.066
7:8910001-8925000	7	8910001	8925000	0.343
7:8925001-8940000	7	8925001	8940000	0.554
7:8940001-8955000	7	8940001	8955000	-0.116
7:8955001-8970000	7	8955001	8970000	-0.153
7:8970001-8985000	7	8970001	8985000	-0.005
7:8985001-9000000	7	8985001	9000000	0.104
7:9000001-9015000	7	9000001	9015000	0.208
7:9015001-9030000	7	9015001	9030000	-0.142
7:9030001-9045000	7	9030001	9045000	0.009
7:9045001-9060000	7	9045001	9060000	0.364
7:9060001-9075000	7	9060001	9075000	0.029
7:9075001-9090000	7	9075001	9090000	-0.046
7:9090001-9105000	7	9090001	9105000	0.075
7:9105001-9120000	7	9105001	9120000	0.392
7:9120001-9135000	7	9120001	9135000	-0.003
7:9135001-9150000	7	9135001	9150000	0.023
7:9150001-9165000	7	9150001	9165000	-0.029
7:9165001-9180000	7	9165001	9180000	0.246
7:9180001-9195000	7	9180001	9195000	0.379
7:9195001-9210000	7	9195001	9210000	0.376
7:9210001-9225000	7	9210001	9225000	0.49
7:9225001-9240000	7	9225001	9240000	-0.058
7:9240001-9255000	7	9240001	9255000	0.037
7:9255001-9270000	7	9255001	9270000	0.16
7:9270001-9285000	7	9270001	9285000	0.078
7:9285001-9300000	7	9285001	9300000	0.369
7:9300001-9315000	7	9300001	9315000	-0.008
7:9315001-9330000	7	9315001	9330000	0.009
7:9330001-9345000	7	9330001	9345000	0.303
7:9345001-9360000	7	9345001	9360000	0.482
7:9360001-9375000	7	9360001	9375000	-0.132
7:9375001-9390000	7	9375001	9390000	0.301
7:9390001-9405000	7	9390001	9405000	-0.272
7:9405001-9420000	7	9405001	9420000	0.037
7:9420001-9435000	7	9420001	9435000	-0.091
7:9435001-9450000	7	9435001	9450000	0.651
7:9450001-9465000	7	9450001	9465000	0.142
7:9465001-9480000	7	9465001	9480000	0.133
7:9480001-9495000	7	9480001	9495000	0.236
7:9495001-9510000	7	9495001	9510000	0.34
7:9510001-9525000	7	9510001	9525000	-0.095
7:9525001-9540000	7	9525001	9540000	0.162
7:9540001-9555000	7	9540001	9555000	-0.044
7:9555001-9570000	7	9555001	9570000	-0.381
7:9570001-9585000	7	9570001	9585000	-0.064
7:9585001-9600000	7	9585001	9600000	-0.14
7:9600001-9615000	7	9600001	9615000	0.101
7:9615001-9630000	7	9615001	9630000	-0.032
7:9630001-9645000	7	9630001	9645000	-0.013
7:9645001-9660000	7	9645001	9660000	0.353
7:9660001-9675000	7	9660001	9675000	0.062
7:9675001-9690000	7	9675001	9690000	0.16
7:9690001-9705000	7	9690001	9705000	0.056
7:9705001-9720000	7	9705001	9720000	0.078
7:9720001-9735000	7	9720001	9735000	-0.156
7:9735001-9750000	7	9735001	9750000	-0.059
7:9750001-9765000	7	9750001	9765000	-0.279
7:9765001-9780000	7	9765001	9780000	0.085
7:9780001-9795000	7	9780001	9795000	0.459
